story,gender
"באחד מימי המילואים שהייתי בבסיס , ישבנו אני והחבר'ה על הספסל ליד החדר אוכל. באזור החדר אוכל יש יחסית הרבה חתולות ואחת מהן התקרבה אליי והחלטתי ללטף אותה. פרמתי את השרוך של הנעליים ונתתי לה לשחק עם זה. לאחר כ-2 . המפקד קרא לי ובזמן שקשרתי את השרוכים , החתולה ששרטה אותי ביד ויר לי מעט דם. לא ממש התרגשתי מזה, שטפתי את היד עם מים וסבון על מנת שלא יהיה לי זיהום. חבריי למחלקה דרשו ממני ללכת למרפאה על מנת שיחטאו את הפצע כי יש חשש לכלבת. אני לא ממש רציתי כי אני מכיר יחסית חתולים ויודע שלחול עם כלבת יש תסמינים שניתן לראות בבירור , מה שאצל אותו חתול לא ראו. הלכתי אל המרפאה , הם חיטאו אל את הפצע עם חומר חיטוי ודרשו ממני באופן בהול להתפנות לבית חולים. אמרתי להם שהם ממש מגזימים ושהכל בסדר אבל הם ממש הכריחו אותי . את האמת אני די פחדתי מהתגובה של המפקד שלי שישמע את כל הסיפור הזה . בכל אופן לא הייתה לי ברירה, התקשרתי אליו והוא ממש לא אהב את המצב הנוכחי ואמר לי ללכת למיון. אל המילואים האלה הגעתי ללא רכב , מה שדרש ממני לנסות לגייס ממישהו שיסיע אותי לשם. המרפאה עצמה לא יכלה להסיע אותי לבית החולים , אז ביקשתי מאחת המילאוימניקיות שייקחו אותי לשם כי לנסוע באוטובוסים זה ייקח הרבה מאוד זמן . למזלי היא חברה טובה שלי עוד מהסדיר ועשתה לי טובה, וחסכה לי הרבה זמן בנסיעות באוטובוסים.כחלק מהפרוטקול, הגענו תחילה אל משרד הבריאות על מנת להודיע להם על המקרה, ולקבל זריקה ראשונית נגד כלבת. הופתעתי לגלות שנמצאים במקום הרבה אנשים עם סיפור כזה או אחר שמזכיר את הסיפור שלי. לאחר הסידורים במשרד הבריאות שלקחו קרוב לשעה נסענו אל בית החולים על מנת לקבל את הזריקה השנייה. קרוב ל-3 שעות המתנתי במיון כי בבית החולים לא היה את הזריקה הזו ועליהם להביא אותה מבית המרקחת. בכל אופן, נכנסתי אל האחות שהביאה לי את הזריקה שהיא לא הכי נעימה שיש. האחות הודיעה לי שעליי לעבור את הזריקה הזאת עוד 3 פעמים במשרד הבריאות הקרוב לבית. היא הסבירה לי שחיסון אחד אינו מספיק ויש להקפיד להגיע לתורים שנקבעו לי למתן שאר החיסונים. היא הציעה להביא לי 3 גימלים , אך לא הסכמתי כי המפקד שלי גם ככה היה נסער עליי. חזרנו אל הבסיס , הייתה אווירה טיפה מתוחה סביב העניין אך לאחר כמה דקות האווירה נהפכה לדאחקה על המקרה . לאחר שבוע הלכתי לזריקה שנייה ולאחר שבועיים לשלישית, ולאחר מכן לרביעית. עצם הנסיעות למתן קבלת חיסון וכל המקרה שקרה בבסיס גרמו לי להיות יותר זעיר במגע עם בעלי חיים שאיני מכיר, כי לא שווה לעבור את הליך החיסונים הזה שוב.",m
"לפני מספר חודשים הייתי עסוק במציאת עבודה מדי יום ובכל יום הייתי שולח באיזור 100 קורות חיים למקומות עבודה על מנת למצוא עבודה בתחום אם זה משרת פיתוח תוכנה צד לקוח או צד שרת , מפני שלא היה לי ניסיון בתחום אז זה הפך את העבודה לקשה והייתי צריך לחפש המון כדי למצוא מקומות עבודה שאוכל להגיש אליהם קורות חיים, עבר זמן , לא קיבלתי אף טלפון , הבחנתי יום שישי אחד במשרה בפייסבוק אשר מצאה חן בעיניי ונתנה לי אפיק התקדמות , החלטתי להגיש קורות חיים למרות שזו משרת בודק תוכנה כשלא תיכננתי מראש להיכנס לעבודה כזו אך האפיק התקדמות וגודל החברה השפיעה ושלחתי בכל זאת, לאחר כמה ימים שלח לי הודעה בווצאפ הבחור שאליו שלחתי את קורות החיים ואמר לי שזה מצא חן בעיניו והוא יעביר הלאה אותם במטרה לקבוע מבחן ראשון , קיבלתי את המבחן במייל לאחר כמה ימים והמבחן היה בSQL וב PYTHON , המבחן היה מוגבל בזמן , לא היה פשוט אך בכל זאת הגשתי בזמן את 2 השאלות פתורות למרות שבשאלה אחת הרגשתי שהלך לי פחות טוב ואולי אפסל עקב פתרון השאלה, לאחר כמה ימים קיבלתי שיחת טלפון מבחור בשם רועי אשר הסביר לי כי התקבלתי וזה בתנאי מפני שבשאלה שחשבתי שהלך לי פחות טוב התשובה הייתה שגויה אך מפני שהרעיון היה נכון כן הוחלט לקבל אותי להמשך תהליך, משם נקבע לי עוד ראיון שבו הייתי צריך לעשות מבחן אל מול 2 מגייסים , הייתי לחוץ נורא אך התגברתי ופתרתי כמה שאלות שהם נתנו לי בSQL , הראיון היה די ארוך ובסופו הרגשתי שהיה טוב , לאחר שבועיים קיבלתי הודעה במייל שלא התקבלתי ומאוד עניין אותי למה מפני שהראיון והמבחן היה לטעמי טוב והייתי חייב לדעת מה בסופו של דבר הפיל אז שלחתי הודעה במייל לבחור אשר היה מגייס ואמר שהיו 150 איש שהיו בתהליך והם פשוט בחרו בחורה שצלחה את המבחן בזמן מושלם ובפתרון מושלם.",m
"לפני שנה התחלתי להרגיש כאבים קלים בברך ברגל שמאל שלי. הלכתי לבדיקה שגרתית אצל הרופא ומשם המשכתי להתייעצות עם רופאים נוספים. עברתי בדיקות דם מקיפות, שלא הובילו לאף מסקנה. עברתי צילומים מכל הסוגים אולטרסאונד, סיטי, ואפילו צילום אמ אר אי. כל התהליך לקח חודשים, כאשר בסוף התברר שהיו לי דלקות מרובות בשריר קטן ומרכזי בחלק הפנימי של הברך שאחראי על התנועה ונותן יציבות לברך. לשריר המדובר קוראים המניסקוס המדיאלי והוא נועד לייצב את הברך ולפעול כבולם זעזועים. במשך חודשים לא יכולתי לרוץ, לא יכולתי להתאמן, לא יכולתי לעמוד על הרגליים לזמן ארוך מידי כי משקל הגוף שלי העמיס יותר מידי על הברך שלי. התחלתי לקחת כדורים נגד הדלקת, אבל זה הרגיש שהיא רק נלחמת בי כל יום. היא עברה וחזרה ועברה וחזרה שוב ושוב, ואני כבר התחלתי לחשוב שהיא לא תעלם לעולם. הרופא שלי הבהיר שאם הדלקת לא תעבור בקרוב לא תהיה ברירה אלא לנתח. התחלתי ללכת לטיפולי פיזיותרפיה על בסיס שבועי, שהקשו עליי ואפילו גרמו לכאבים. התחלתי ללכת לשחות, כי לא יכולתי לבצע אף פעולה פיזית או אף סוג אחר של התעמלות. גם השחייה הייתה קשה, והרבה פעמים גרמה לכאבים. לא יכולתי במשך חודשים לעמוד ליותר מעשר דקות ברצף כי משקל הגוף שלי הכביד על הברך. הדרך רעדה הרבה ואפילו נפלתי כמה פעמים, למזלי לא היה נזק מהנפילות. בסוף אחרי חודשים מרובים של עבודה קשה השיקום והעבודה הקשה שלי התחילה להניב פירות והדלקת נעלמה ולא חזרה. זה עדיין לא היה הסוף. אמנם הדלקת לא חזרה, אבל הברך שלי לא הייתה באותו המצב שהיא הייתה בו קודם לכן. כל דבר כאב בהתחלה. אפילו לעשות הליכה של יותר מחצי שעה. כבר ידעתי מה לעשות כל פעם שהכאבים חזרו, ידעתי בדיוק איך להתנהל. לא יכולתי לצאת לטייל עם חברים או לעשות כל פעולה פיזית שמאמצת יותר מידי את הברך. חזרתי להתאמן, בצורה איטית ובטוחה. היו הסתייגויות ושום דבר לא עבר בצורה חלקה. היום המצב של הברך שלי הוא טוב ויציב וכולי תקווה שזה יישאר ככה.",f
"במהלך השנה האחרונה לא חוויתי המון חוויות עקב מגפת הקורונה והסגרים שהיא הביאה איתה. בגלל השגרה השונה שנכפתה עלינו, בחרתי לשתף חוויה קצת שונה שקשורה לקורונה. בסוף חודש ספטמבר של שנת 2020 נחשפתי לחולת קורונה מאומתת ונכנסתי לבידוד של שבועיים. יום אחרי שיצאתי מהבידוד, ההורים שלי התגלו כחיוביים לקורונה ונכנסתי מיד לעוד שבועיים של בידוד. כך למעשה חוויתי בידוד של חודש רצוף, דבר שנשמע במחשבה ראשונה כדבר קשה ומדכא. אציין שגם אני בתחילת הבידוד השני ראיתי את הסיטואציה כלא פשוטה והייתי נורא עצוב מהמצב. אך כעט ברצוני לספר, בניגוד לתחושה שהבידוד השני היה סיוט, על החוויה שחוויתי בשבועיים האלה. למעשה את השבועיים האחרונים של הבידוד העברתי ביחד עם האחים שלי כי כולנו נחשפנו להורים שלי שחלו בנגיף. השבועיים האלה נפלו על חגי תשרי וכך יצא שהעברתי ביחד עם אחים שלי את כל החגים בלי שנפרדנו בכלל. בשגרה רגילה אחים שלי ואני נפגשים לרוב כולנו בסופי שבוע אך לא לתקופה של שבועיים שלמים ולא תמיד בהרכב מלא. העובדה שהיינו יחד כולנו בהרכב מלא שבועיים שלמים, הפכה את הסיטואציה לחוויה גדולה וגרמה לי להנות מכל רגע. כך למעשה התחלתי את הבידוד מדוכא נורא כי כמו שציינתי הוא התחיל בדיוק יום אחרי שיצאתי מבידוד של שבועיים, וסיימתי את הבידוד עם תחושה שזכיתי להעביר שבועיים שלמים עם האחים שלי, כלך שהיום אני מסתכל על השבועיים האלה כחוויה גדולה. במהלך השבועיים האלה למדתי לבשל ויחד עם האחים שלי בישלנו כל יום ארוחות. כמו כן צמנו ביחד ביום כיפור, התפללנו ביחד את התפילות ונהנו להעביר את הצום ביחד. בסוכות בנינו סוכה, בישלנו ארוחות חג ואפילו שלחנו אוכל להורים שהיו מבודדים בנפרד כי הם חלו. אני לא יודע מתי, אם בכלל, יצא לי לחוות שוב שבועיים שלמים כאלו עם אחים שלי אך היום אני מסתכל על השבועיים האלה ומבין שגם מסיטואציה מורכבת שכפה עלינו נגיף הקורונה, אפשר לחוות חוויות נעימות שיישארו אותנו לתקופה ארוכה. ועל זה נאמר ""מעז יצא מתוק"".",m
"בפברואר 2020 בתחילת עידן הקורונה, ביליתי עם בת זוגתי בחופשה חטופה באיסטנבול שערכה יומיים.את הכרטיסי טיסה הזמנו בערב וכבר לפנות בוקר היינו בדרכו לאיסטנבול.זהו ביקור חטוף הראשון שיזמנו באופן ספונטני. בפברואר מזג האוויר קר, ירד גשם ולעתים שלג. הטמפרטורות בלילות היו 2-3 מעלות.לכן הצטיידנו בבגדים חמים.איסטנבול עיר גדולה ולמרות שלרוב הדברים אפשר להגיע ברגל, העדפנו להשתמש בתחבורה הציבורית בעזרת ניווט עם MOOVIT וחבילת גלישה שנרכשה בארץ.את היום הראשון בילינו בהרבה הליכות ברחובות איסטנבול.הולכים הרבה ולכן הצטיידנו בנעליים ובגדים נוחים להליכה מרובה. העיר מלאה בגבעות, כל היום עולים ויורדים.את היום הראשון התחלנו בביקור ברובע סולטאנאחמט בארמון טופקאפי. אמרון ענק הכולל מבנים שונים הנמצאים בארבע חצרות ענקיות הקשורות זו לזו ויוצרות מתחם גדול ומוקף חומה ששימש למשכן הסולטאנים מאז המאה ה15.ליד הארמון נמצאת כנסיית איה סופיה, זהו מבנה ענק ומרשים מאוד בן 1400 שנה.במאה ה15 העותמאנים הפכו את המקום למסגד.לאחר מכן טיילנו ברחוב דיווניולו, רחוב שבו ממקומים מסעדות, בתי קפה ודוכני מזון.שתינו תה עם כנאפה והמשכנו לעבר הבזאר הגדול.הבזאר היה מאוד מרשים ואפשר ללכת בקלות לאיבוד, המבנה ולכן חמים, טיילנו ונהנו מאוד מהריחות הצבעים והאנשים.הבזאר היה מחולק לחלקים לפי קטגוריות של מוצרים: עור וביגוד, תכשיטים, בדים, ציוד לבית וכו'.התארחנו במלון בקרבת הבזאר לכן לאחר הביקור בו חזרנו למלון למנוחה קצרה.לאחריה יצאנו בערב לארוחה ברובע בייגלו ברחוב איסתיקלל הנחשב ללב ליבה של המודרניות הטורקית.הרחוב הומה אדם ומלא בחנויות מותגים ידועות, לכן לאחר הארוחה יצאנו לסיור קניות. ברחוב ניתן למצוא שלל חנויות החל מביגוד ועד לתכשיטים. המחירים בטורקיה מאוד משתלמים לתייר הישראלי שכן המטבע שלהם, לירה טורקית אחת שוות ערך ל40 אג' ישראליות.את היום השני, התחלנו בארוחת בוקר טורקית עם הרבה מאכלים טורקים מסורתיים. משם המשכנו לסיבוב נוסף רחבי רחובות איסטנבול.טיילנו כמה שעות לאורך הים. משם נצפה נוף מרהיב של 2 יבשות מתחברות באמצעות גשר ענק מימדים.המשכנו לארוחת צהריים על שפת הים במסעדה המגישה פירות ים.המסעדה ממוקמת על הים מה שיוצר אווירה קלילה ומיוחדת ביחד עם האוכל הטעים שהוגש בה. לאחר אורחת הצהריים חזרנו למלון לביצוע צ'ק אין והכנה לטיסה חזרה לישראל.",m
"ביום שישי האחרון התקשר אלי חברי הטוב שם בדוי אבי והציע לי ללכת איתו לדוג דגים בים התיכון , זהו תחביב ישן שנזנח לאור מגפת הקורונה והיה נחמד לחזור ולדוג אחריי הרבה זמן , כמובן שכבר לא זכרתי איך והצעתי לעוד חבר שם בדוי נתנאל לבוא איתי גם ,יש לציין שזוהי הפעם הראשונה שלו בתחביב זה . נתנאל הסכים לבוא איתי לדוג וקבענו לנסוע בשעה 21:00 במרינה של הרצליה , מקום שהייתי נוהג לדוג בו הרבה ואני מכיר אותו היטב. אבי הציע לאסוף אותי ואת נתנאל ברכב שלו ואז נתנאל הודיע שהוא מתעכב קצת אז אבי נסע אלי קודם ואז נסענו לנתנאל הביתה וחיכינו לו מתחת לבניין. לאחר כמה דקות נתנאל הגיע , אמרנו שלום ונסענו להרצליה. בדרך עצרנו בתחנת דלק לקנות מים וכמה חטיפים ואז המשכנו בנסיעה לכיוון. חנינו בחניון הצמוד למרינה, כמובן שהוא היה חשוך בגלל השעה המאוחרת וירדנו מהאוטו והתחלנו להתקדם לכיוון מקום הדייג הקבוע שלנו. אבי כבר הכין את הריג שלו ולכן איך שהתמקמנו הוא שם את הפיתיון על הקרס וזרק למים, כמובן שהייתה רוח חזקה מאוד והים היה סוער והיה קשה מאוד לדוג בתנאים האלה וגם לאחר אסון הזפת שפקד את החופים דבר שהקשה עוד יותר למצוא דגים. אני נעזרתי באבי להכין את הקשירות והציוד וגם אני זרקתי רחוק למים בתקווה לתפוס איזה דג כמובן בגלל הרוח והים הסוער הים סחף לי את הקרס חזרה אלי והוא נתקע בין הסלעים ולא הצלחתי למשוך אותו בחזרה , אז התחלתי למשוך חזק עד שהחוט נקרע והמשקולת והקרס נשארו במים , כמובן שהתחלתי לסדר את החוט מחדש ולהכין את הריג והקשירות שוב ואז הצעתי לשנות מקום ליותר קדימה לכיוון השובר גלים ולזרוק לכיוון פנים המרינה מכיוון שהגלים לא עוברים את שובר הגלים ובחלק הפנימי הים רדוד ורגוע ויהיה יותר קל לתפעל את החכה, אבי ונתנאל הסכימו והתחלנו להתקדם לכיוון פנימה . כמובן שהשער היה סגור אז היינו צריכים לטפס מסביב התחלנו לטפס מסביב לגדר עם הציוד והגענו לאחר 200 מטר לאזור עם הסלעים שממנו רואים את כל הסירות של המרינה והחלטנו להתמקם ולזרוק לכיוון הים במטרה לתפוס דגים. כמובן שלא הצלחנו בסוף אבל היה נחמד מאוד לפגוש שוב את הים ולנסות לתפוס דגים שזה תחביב מאוד פופולארי בארץ ויש הרבה דייגים. בסופו של דבר חזרנו הביתה בלי דגים, עייפים אך מרוצים.",m
"כמו שכולנו יודעים מאז תחילת הקורונה החיים שלא השתנו לגמרי כל אחד הסתדר ולמד על עצמו המון דברים חדשים ואיך להתנהל עם השגרה החדשה שאנחנו נמצאים בה כיום, בתור אחד שהולך הרבה למילואים אני רוצה לספר על החוויה שלי מהאימון האחרון שהיה לי היה לנו אימון מיוחד שכלל שיתוף פעולה עם יוון ולכן באימון הזה יצא לנו כגדוד צנחנים לטוס לחול לטובת אימון עם צבא יוון , היה אימון של שבועיים שבו אני הייתי קשר המפ, באימון הזה אחרי שטסנו עלינו על נגשמים עם החיילים של יוון ודיברנו איתם באנגלית והיה מעניין במהלך האימון הלכנו ממש הרבה כי בכל זאת מדובר באימון של גדודי חיל רגליים, באימון הזה היה הרבה ירי רטוב, ירינו ברוסר שלנו וגם בטילים וכמובן שגם זרקנו רימונים, אימון מתוקצב כזה לא היה הרבה זמן וגם החוויה של להיות בחול כחייל במילואים הייתה חוויה מיוחדת מאוד שאני לא חושב שיצא להרבה אנשים לעשות. האימון כלל שיתוף פעולה עם חיל הים ולכן גם היינו על ספינות של חיל הים וגם הוסקנו במסוקים במהלך האימון. אחרי שבוע וחצי מתוך השבועיים באימון שבו לא ישנו הרבה ובעקבות זה שהוא דימה מלחמה רוב הזמן ישנו בימים בתוך הנגמש ובלילה כמובן תרגלנו והלכנו שסיימנו היה לנו שלושה ימים בבית מלון כמובן שעם החיילים מיוון במלון שכלל הכול כלול עם בריכה וגישה לים וממש שתינו ואכלנו בלי סוף גם שתיה חריפה, לאחר כמה ימים מהנים שכללו מנוחה נהדרת אחרי אימון כל כך קשה הגענו לטקס הסיום שכלל את הרמטכל, בטקס הוסבר לנו כמה חשוב שירות המילואים וכמה השיתוף פעולה עם מדינה אחרת ולמידת הטכנולוגיות השונות חשובה למדינת ישראל. לאחר מכן הרמטכל לקח כמה אנשים ל"" ""שעת קפה"" "" אני נבחרתי עם עוד שלושה אחרים לישיבה הזאת שם ניהלנו שיחה על החיים שלנו כאזרחים ומה כל אחד עושה היום עם הרמטכל. לאחר מכן חיכינו הרבה זמן למטוס חזרה והיה בעיה כלשהי ובעקבות כך היינו צריכים להישאר עוד יום ביוון ולכן קיבלנו עוד יום + לילה במלון הכול כלול שהיינו בו וקיבלנו על זה ימי מילואים כמובן.",m
"בשנה האחרונה של התואר הלך לי ממש לא קל , הקורונה לא עזרה בכלל אפשר לומר כמעט בוודאות , אני לא בין התלמידים המצטיינים אבל בהחלט חשוב לי להצליח במה שאני עושה והשנה וחצי האחרונות היו מאוד קשות גם הריחוק מהחברים שבהחלט הורגש בלימודים וגם הלמידה מרחוק הרגישה כמו להוריד את הרגל מהגז לצערי זה גרר אותי עם הלימודים והיום אני משלים כמה קורסים , אבל אני מאמין שכל אחד בדרכו ואם הגעתי עד פה אז לסיים זאת לא בעיה , אני מחפש עבודה ראשונה ומקווה שיסתדר בקרוב , בנתיים אני כותב כמה פרוייקטים כדי שיהיה לי מה להציג. מבחינה חברותית בלימודים אהבתי לשמור על המעגל הקרוב שלי , לא שאני נגד חברים חדשים , ההפך הוא הנכון פשוט למדתי לאט לאט שהכל אינטרס , מעטים האנשים במכללה שיהפכו להיות חברים שלך , אז בצורה כל שהיא אתה מתחיל לפעול ככה באוטומט , אבל בכללי אני מאוד אוהב לעוזר אם אני יכול כי אני מאמין שגם בחיים וגם בלימודים אם אתה יכול להושיט יד ולעזור תעשה זאת , כי שאתה מחפש את העזרה ומישהו עוזר לך אתה מעריך את זה , מה שנקרא גלגל את זה הלאה לקארמה טובה . אני חושב שאני יכול די להתסדר בהייטק טוב , אני רק צריך הזדמנות , דבר שקשה מאוד להשיג בתחום , אני מבין מצד שני את המגייסים שצריכים לראיין כל כך הרבה עד שהם מוצאים את המתאים , אבל לפעמים אתה מרגיש כמו אחד כזה שבסוף אחרי ראיונות מטלות ומה לא אתה לא הבחור שהם מחפשים , וזה לא קל אבל בהחלט לומדים לחיות עם זה , בעקירון חייב לא לקחת ללב , להבין שהכל מקצועי ולהבין שגם חייב לשפר איפה שנופלים או ללכת למקודות שבהם אתה יותר חזק. אם הייתי יכול הייתי רוצה להיות מנטור לסטונדטים חדשים או מתקשים , כי שמתי לב שברוב התואר חברים באו אלי שהיו צריכים עזרה נפשית או מוראלית ותמיד ידעתי לעזור.",m
"אני חבר נסענו השנה לסאמר סקול בקיימברידג′ מחזור ראשון. לפני הנסיעה היו הרבה חששות, אבל עכשיו - אחרי החוויה, אני רוצה להגיד שזו החוויה הכי מדהימה שעברתי בחיים שלי. אני לא אשכח את זה לעולם, חזרתי מאנגליה עם הרגשה מעולה, המון חברים חדשים והאנגלית שלי והביטחון לדבר השתפרו בהרבה מאוד !! כשהגענו לקיימברידג′, כבר קיבל אותנו הצוות המדהים של EF. קיבלנו את החדרים שהיו מצויינים, וכל יום עברו ניקיון. ביום השני עשו לנו מבחן רמה כדי שנוכל להשתלב בכיתה, ובאמת שאם היתה בעיה הכי קטנה עם הכיתה, המורה או הרמה טיפלו בה מיד.. אחרי המבחן עשו לנו סיור בקיימברידג′ המהממת , הכרנו אותה קצת(: מהיום השלישי התחלנו שגרה של לימודים ופעילויות, האמת שאף פעם לא נמאס מהשגרה הזאת כי הלימודים היו ממש מהנים ושילבו יציאות לעיר, דיונים, משחקים, צפייה בסרטים ועוד .. הכיתה עצמה היתה טובה ונוחה, הילדים היו מדהימים והיה ממש כיף איתם, ככה למדנו להכיר אחד את השני ולדבר יותר אנגלית (: חוץ מזה הפעילויות היו אדירות והצוות עצמו היה ממש מדהים, והפעילויות היו- יציאה לפארק, קריוקי, חידון, משחקי ספורט, פאנטינג בנהר ועוד.. :) כמעט כל יום היה לנו המון זמן חופשי - מסיום הפעילויות/הלימודים בצהריים ועד ארוחת הערב. יכולנו לצאת לעיר לשופינג, להיות בפארק או סתם להישאר לשחק פינג-פונג במרכז (: . הארוחות היו נחמדות, כמובן שבבוקר היתה ארוחת בוקר בריטית טיפוסית קלילה ביותר, וארוחות הצהריים והערב היו נחמדות. ברור שהבררנים שבינינו יכלו לצאת לעיר לקנות לעצמם מקדונלדס, סטארבקס או כל פאסט פוד אחר D: בסוף השבוע נסענו ללונדון למוזיאון מאדאם טוסו המהמם, אח′′כ שופינג באוקספורד סטריט (לעולם לא נשכח את המכויס שלנו, אנשים- תשמרו על הכסף שלכם... :)), ואז היה לנו סיור בלונדון D: נסענו גם לטירת הוורוויק ולעיר הולדתו של שייקספיר, היה ממש כיף ומצחיק, ואלה היו הזדמנויות מעולות לגיבוש של כל הקבוצה הישראלית המדהימה שלנו (: בשבוע השני נסענו למחזמר בלונדון שהיה הווווורס !! הכל היה מפואר ומדהים ואני ממש נהניתי !!! ואם לסכם את החוויה הזאת - מדהים, נהניתי מ-כ-ל רגע ואני לא אשכח את זה בחיים !! אם אתם מתלבטים, לכו על זה בכל הכוח !! ההנאהה מובטחת .",m
"לפני כמה שבועות נולד לי אחיין, הבן הראשון של אחי הגדול, אני ואחי מאוד בקשר ובעקבות זאת כל ההכנות והלידה עצמה היו חלק מאוד גדול מהחיים שלי. באותו שבוע של התאריך המיועד ללידה, הייתי צריך לטוס מהעבודה לחו"" ""ל בשביל כמה פגישות. לא רציתי לפספס את הלידה וניסיתי לדחות את הטיסה ללא הצלחה, למזלי גיסתי ילדה רק 3 ימים אחרי שנחתתי. הלידה התחילה באמצע הלילה, אחי הגדול התקשר אליי ואמר לי לבוא לבית חולים כי היא נכנסת לחדר לידה (יש לציין שהשיחה הייתה חצי שעה אחרי שהלכתי לישון, הגעתי לבית חולים עייף אבל מתרגש מאוד) לאחר שהגעתי לבית חולים גיסתי כבר הייתה בחדר לידה ואחי היה מאוד לחוץ כי הוא לא יכל להיכנס איתה בגלל אילוצי קורונה וכולי אחרי כמה שעות שחיכינו הילד נולד, גיסתי הייתה אמורה להישאר עוד כמה שעות בבית חולים להתאוששות. לאחר שזמן ההתאוששות נגמר, התחלנו להתארגן ולארוז את כל הדברים בשביל לצאת הביתה (כמובן שרצינו לצאת כמה שיותר מהר בגלל כל מצב הקורונה והחולים בבית החולים). הגענו הביתה באיזור הערב ורק אחרי כמה שעות שמנו לב שהשארנו את כל המתנות בחדר בבית חולים ולא לקחנו אותם (מתנות לתינוק החדש, כסף, בגדים וכולי) אני ואחי הגדול נסענו ישר לבית חולים כדי לחפש את כל מה שהשארנו, שהגענו לחדר שהיה שלנו עד לפני כמה שעות ראינו שהחדר כבר נוקה וכל המתנות "" ""נעלמו"" "". הלכנו למזכירות ושאלנו איפה כל הדברים שהיו בחדר כי זה דברים לילד ודברים שהזוג הצעיר צריך, נאמר לנו שלקחו כבר את כל הדברים אחרי שהלכנו ואין להם פרטים מי לקח. העניין הרגיש לנו מוזר וביקשנו אם יש אפשרות לבדוק מי נכנס לחדר או לאיזור ויצא עם הדברים שלנו כי זה לא הגיוני שמישהו פשוט ייקח את הדברים ויילך לאחר חיפוש בדוחות, במצלמות ובכל פרט אפשר בבית החולים, שמנו לב שמי שלקח את כל הדברים היו ההורים שלנו (שבכלל לא הודיעו לנו!), כמובן שלאחר שהבנו את הטעות התנצלנו לצוות והלכנו הביתה לפגוש את ההורים. מסתבר שההורים באו לבקר את הנכד החדש אבל אנחנו כבר הלכנו הביתה, הם ראו את כל המתנות והדברים שלנו והסיקו ששכחנו לקחת אותם אז הם פשוט לקחו אותם אליהם בשביל שלא יזרקו אותם.",m
"טיול בשלג. החורף הגיע, ההגבלות של הקורונה ירדו והודיעו שהולך לרדת שלג. כבר אז הבנו שאת ההזדמנות הזאת אסור לפספס וחייבים ללכת לראות שלג. אני הייתי רק פעם אחת בחרמון עם ההורים שלי בגיל מאוד צעיר ולכן ממש רציתי לראות שוב פעם שלג. הבעיה הייתה שכמו שאנחנו רצינו לראות שלג גם שאר עם ישראל, והבנו שהולך להיות בלאגן שלם שם. התלבטנו אם לקחת את הסיכון וללכת לירושלים שלא ידענו כמה שלג יהיה שם לבין ללכת לצפון ליער אודם. החלטנו שאנחנו לא רוצים לקחת סיכון ולכן נלך ליער אודם. החלטנו שנוסעים ביום שבת בשעה 4 לפנות בוקר. הכנו יום לפני את כל הדברים, בגדים חמים, אוכל ושתייה ויצאנו למסע. למרות השעה המאוד מוקדמת בדרך הלוך הייתה תנועה וקצת פקקים לפני הכניסה ליער. כשהגענו ליער שמחנו לגלות שיש הרבה שלג. עם הגעתנו התחלנו במלאכה של בניית איש שלג גדול ככל שנוכל. הוא לא היה הכי גדול שיש אבל הסתפקנו בו לתמונות מרשימות. כמובן שעשינו מלחמת כדורי שלג, וניסנו לגלוש ללא הצלחה על השלג. לאחר 4 שעות כפיות התחלנו את המסע חזרה הביתה. המסע הזה כלל הרבה יותר תנועה ופקקים. למרות השעה המוקדמת בא יצאנו כל הכבישים היו מפוצצים ברכבים שמנסים להגיע ולחזור והיינו פשוט תקועים הרבה זמן במקום. במהלך הדרך חזרה עצרנו במצפה אופיר, פתחנו פקל קפה, והשקפנו על הכנרת. כשכבר היינו יותר קרובים לבית היינו מורעבים ועייפים. האכל שהבאנו הספיק לנו בקושי והיינו חייבים לעצור לאכל בדרך משהו יותר רציני. לצערנו עדיין לא פתחו את המסעדות והזמנו טייק אווי. השתלטנו על כמה חניות, פרסנו מחצלת ואכלנו מקדונלדס תוך כדי ישיבה על הרצפה. יש לציין שמרוב הרעב זאת הייתה אחת הארוחות הטובות שאכלנו. החוויה מאוד מומלצת, אבל הבעיה שכל המדינה בערך רצה לראות את השלג, דבר שיצר פקקים ועומסים תנועה מטורפים שהרעיפו צל על החוויה. אנחנו כן היינו עושים את זה שוב, אבל במחשבה לאחור אולי עדיף להשכיר איזה לילה באזור מאשר לעשות את כל הנסיעות המעייפות האלה.",m
